Fecha	Título	Link	Perma.cc
37534.0	"Demandan a ex líderes magisteriales"	"http://archivo.eluniversal.com.mx/nacion/89502.html"	"https://perma.cc/L4QF-773F"
37536.0	"Los casos de Acosta y Quirós podrían frenar a la fiscalía"	"http://archivo.eluniversal.com.mx/nacion/89545.html"	"https://perma.cc/5RR2-6DDT"
37552.0	"Emplaza CIDH a México a cumplir recomendaciones"	"http://archivo.eluniversal.com.mx/nacion/90016.html"	"https://perma.cc/9F32-NHC5"
37561.0	"Ratifica PRD querella por desaparición de militantes "	"http://archivo.eluniversal.com.mx/nacion/90319.html"	"https://perma.cc/2GQP-MFS2"
37561.0	"Amplía CNTE sus denuncias contra Gordillo y Jongitud"	"http://archivo.eluniversal.com.mx/nacion/90330.html"	"https://perma.cc/7RFS-5JZV"
37567.0	"Muere Martínez Domínguez"	"http://archivo.eluniversal.com.mx/estados/47489.html"	"https://perma.cc/MM2X-2BKD"
37567.0	"Sigue indagatoria sobre el 71: fiscal"	"http://archivo.eluniversal.com.mx/estados/47490.html"	"https://perma.cc/4ADH-3KG2"
37573.0	"Gutiérrez Oropeza se reserva declarar"	"http://archivo.eluniversal.com.mx/nacion/90680.html"	"https://perma.cc/C3JH-VZJ8"
37574.0	"Fox ante el pasado"	"http://archivo.eluniversal.com.mx/editoriales/16521.html"	"https://perma.cc/Y7SA-AHBC"
37574.0	"Fox, PAN y CCE convierten en blanco al Poder Legislativo / Con ello buscan responsabilizarlo de \"obstruir\" al Ejecutivo  / Eso entorpecerá la aprobación del paquete económico 2003 "	"http://archivo.eluniversal.com.mx/columnas/26675.html"	"https://perma.cc/7DNF-UK5B"
37580.0	"Declara ex instructor del grupo \"Halcones"	"http://archivo.eluniversal.com.mx/nacion/90907.html"	"https://perma.cc/JCN5-6WU8"
37582.0	"Continuarán investigando a los militares"	"http://archivo.eluniversal.com.mx/nacion/90976.html"	"https://perma.cc/6H8T-SYYU"
37582.0	"Cita fiscalía a Gordillo"	"http://archivo.eluniversal.com.mx/nacion/90977.html"	"https://perma.cc/NC4D-KGMB"
37583.0	"Madrazo: acusaciones políticas contra Gordillo"	"http://archivo.eluniversal.com.mx/nacion/91009.html"	"https://perma.cc/M22R-HNGQ"
37584.0	"Analiza Fiscalía especial pruebas contra Gordillo"	"http://archivo.eluniversal.com.mx/nacion/91031.html"	"https://perma.cc/25C6-ESQ2"
37586.0	"Más pruebas en contra de Gordillo"	"http://archivo.eluniversal.com.mx/nacion/91084.html"	"https://perma.cc/2SZN-SL5X"
37587.0	"Jongitud declarará ante fiscalía"	"http://archivo.eluniversal.com.mx/nacion/91130.html"	"https://perma.cc/SD64-96Q4"
37588.0	"Poder Judicial: la otra elección"	"http://archivo.eluniversal.com.mx/columnas/26988.html"	"https://perma.cc/68MF-T86K"
37588.0	"Se dice Gordillo inocente ante fiscal"	"http://archivo.eluniversal.com.mx/primera/13519.html"	"https://perma.cc/8FT3-VAB9"
37601.0	"Que Acosta y Quiroz sean juzgados por civiles, exigen"	"http://archivo.eluniversal.com.mx/nacion/91561.html"	"https://perma.cc/YJ8P-GVTE"
