EDI_NENA,Inventory of text source data files,,,,,,
,Revised 08 October 2017,,,,,,
,,,,,,,
,,,,,,,
EDI identifier,Organization or Program,Date of collection,Web browser,Location of source,"Permanent links (added by QDR as of May 30, 2018)",File name,Notes
QC004,"Confédération des syndicats nationaux, Québec (CSN)",6-Oct-17,Google Chrome,http://vertlasolidarite.org/a-propos/,https://perma.cc/2ZUR-M3VR,EDI_NENA.QC004.text.vertlasolidarite.2017.nvcx,Translated to English using Google Translate at web page
QC004,"Confédération des syndicats nationaux, Québec (CSN)",6-Oct-17,Google Chrome,https://lamdd.org/actu/2017/les-travailleuses-travailleurs-acteurs-incontournables-pour,https://perma.cc/6RCZ-RHBM,EDI_NENA.QC004.text.CSNWorkers.2017.nvcx,Translated to English using Google Translate at web page
QC004,"Confédération des syndicats nationaux, Québec (CSN)",6-Oct-17,Google Chrome,https://www.csn.qc.ca/actualites/a-la-recherche-dune-transition-juste/,https://perma.cc/5M9V-DC2J,EDI_NENA.QC004.text.MURPHY-PERRON.2017.nvcx,Translated to English using Google Translate at web page
QC004,"Confédération des syndicats nationaux, Québec (CSN)",6-Oct-17,Google Chrome,https://www.csn.qc.ca/actualites/un-plan-daction-qui-vise-juste/,https://perma.cc/TKS5-7KJJ,EDI_NENA.QC004.text.GUÉNETTE.2017.nvcx,Translated to English using Google Translate at web page
QC004,"Confédération des syndicats nationaux, Québec (CSN)",6-Oct-17,Google Chrome,https://www.csn.qc.ca/mouvement/patrimoine/notre-declaration-de-principe/,https://perma.cc/4RR5-7NKZ,EDI_NENA.QC004.text.CSNPrinciples.2017,Translated to English using Google Translate at web page
QC004,"Confédération des syndicats nationaux, Québec (CSN)",6-Oct-17,Google Chrome,https://www.csn.qc.ca/mouvement/patrimoine/nos-valeurs/,https://perma.cc/DH6T-64ZA,EDI_NENA.QC004.text.CSNValues.2017.nvcx,Translated to English using Google Translate at web page
QC004,"Confédération des syndicats nationaux, Québec (CSN)",6-Oct-17,Google Chrome,https://www.csn.qc.ca/mouvement/comites/comite-en-environnement-et-developpement-durable/,https://perma.cc/QWS2-F7Z8,EDI_NENA.QC004.text.Comitéenvirodéveloppementdurable .2017.nvcx,Translated to English using Google Translate at web page
QC005,Fondation Coule Pas Chez Nous,8-Oct-17,Google Chrome,https://www.coulepascheznous.com/pdf/Encart_StAntoinedeTilly.pdf,https://perma.cc/K6TS-Q54G,EDI_NENA.QC005.text.CoulePCNLevis.2015_TransEng,Translated to English using Microsoft Translator from EDI_NENA.QC005.text.CoulePCNLevis.2015
QC005,Fondation Coule Pas Chez Nous,8-Oct-17,Google Chrome,https://www.coulepascheznous.com/pdf/2014-04-12-proposition-de-reglement-municipal-pipeline-terrestre.pdf,https://perma.cc/27RM-JVH8,EDI_NENA.QC005.text.Langelier.2014_TransEng,Translated to English using Microsoft Translator from EDI_NENA.QC005.text.Langelier.2014
QC005,Fondation Coule Pas Chez Nous,8-Oct-17,Google Chrome,https://www.coulepascheznous.com/pdf/CoulePCN-Municipalites_v2.pdf,https://perma.cc/FGU2-KFKE,EDI_NENA.QC005.text.CoulePCNMunicipalites.2015_TransEng,Translated to English using Microsoft Translator from EDI_NENA.QC005.text.CoulePCNMunicipalites.2015
QC005,Fondation Coule Pas Chez Nous,8-Oct-17,Google Chrome,https://www.coulepascheznous.com/pdf/CoulePCN-Proprietaires_v1.pdf,https://perma.cc/B6WH-LYTE,EDI_NENA.QC005.text.CoulePCNProprietaires.2014_TransEng,Translated to English using Microsoft Translator from EDI_NENA.QC005.text.CoulePCNProprietaires.2014
QC005,Fondation Coule Pas Chez Nous,8-Oct-17,Google Chrome,http://www.rncreq.org/images/UserFiles/files/Portrait_Energie_Qc_2015(2).pdf,https://perma.cc/NH3M-R63P,EDI_NENA.QC005.text.RNCREQ.2015_TransEng,Translated to English using Microsoft Translator from EDI_NENA.QC005.text.RNCREQ.2015
QC005,Fondation Coule Pas Chez Nous,8-Oct-17,Google Chrome,https://www.coulepascheznous.com/pdf/4p_changements_clim_FINALE.pdf,https://perma.cc/G6FS-W7JG,EDI_NENA.QC005.text.CoulePCNChangementsClimatiques.2017_TransEng,Translated to English using Microsoft Translator from EDI_NENA.QC005.text.CoulePCNChangementsClimatiques.2017
QC005,Fondation Coule Pas Chez Nous,8-Oct-17,Google Chrome,https://www.coulepascheznous.com/pdf/Encart_Montmagny_Islet.pdf,https://perma.cc/B6F3-P8ZJ,EDI_NENA.QC005.text.CoulePCNMontmagny.2015_TransEng,Translated to English using Microsoft Translator from EDI_NENA.QC005.text.CoulePCNMontmagny.2015
QC005,Fondation Coule Pas Chez Nous,8-Oct-17,Google Chrome,https://www.coulepascheznous.com/pdf/4pages_EnergieEst_2015.pdf,https://perma.cc/F9ML-FWVS,EDI_NENA.QC005.text.CoulePCNEnergieEst.2015_TransEng,Translated to English using Microsoft Translator from EDI_NENA.QC005.text.CoulePCNEnergieEst.2015
QC005,Fondation Coule Pas Chez Nous,8-Oct-17,Google Chrome,https://www.coulepascheznous.com/pdf/depliant-V2_final.pdf,https://perma.cc/WSN6-7QEN,EDI_NENA.QC005.text.CoulePCNDepliant.2017_TransEng,Translated to English using Microsoft Translator from EDI_NENA.QC005.text.CoulePCNDepliant.2017
QC005,Fondation Coule Pas Chez Nous,8-Oct-17,Google Chrome,https://www.coulepascheznous.com/pdf/Encart_Maskinonge.pdf,https://perma.cc/BYJ2-4EDH,EDI_NENA.QC005.text.CoulePCNMaskinongé.2015_TransEng,Translated to English using Microsoft Translator from EDI_NENA.QC005.text.CoulePCNMaskinongé.2015
QC005,Fondation Coule Pas Chez Nous,8-Oct-17,Google Chrome,http://www.stopoleoduc.org/evenement/creation-de-la-fondation-coule-pas-chez-nous/,https://perma.cc/A76L-E7RJ,EDI_NENA.QC005.text.Lussier.2015.nvcx,Translated to English using Google Translate at web page
QC005,Fondation Coule Pas Chez Nous,8-Oct-17,Google Chrome,https://www.coulepascheznous.com/projets#projet18,https://perma.cc/6RB6-CWUA,EDI_NENA.QC005.text.CoulePCNlesprojetsfinancés.2017.nvcx,Translated to English using Google Translate at web page
QC005,Fondation Coule Pas Chez Nous,8-Oct-17,Google Chrome,https://www.coulepascheznous.com/lafondation#esh5,https://perma.cc/782L-S7SJ,EDI_NENA.QC005.text.CoulePCNla Fondation.2017.nvcx,Translated to English using Google Translate at web page
QC005,Fondation Coule Pas Chez Nous,8-Oct-17,Google Chrome,https://www.coulepascheznous.com/campagnes,https://perma.cc/AR35-5TXV,EDI_NENA.QC005.text.CoulePCNLacampagne.2017.nvcx,Translated to English using Google Translate at web page
