Filename	Title	Source
"Trachtenberg_BR_19610620"	"Confidential Annex to C.O.S. (61) 38th Meeting, June 20, 1961"	"n/a"
"Trachtenberg_BR_19610629"	"Letter from UK Embassy in France to Tomkins, June 29, 1961"	"n/a"
"Trachtenberg_BR_19610704"	"Confidential Annex to C.O.S. (61) 42nd Meeting, July 4, 1961"	"n/a"
"Trachtenberg_BR_19610707"	"Report by the Joint Planning Staff, NATO Strategy Brief for Sir George Mills, July 7, 1961"	"Public Record Office, London"
"Trachtenberg_BR_19610714"	"Report by the Joint Planning Staff, Berlin Contingency Planning Brief on Plans to Restore Access to Berlin, July 14, 1961"	"n/a"
"Trachtenberg_BR_19610718"	"Confidential Annex to C.O.S. (61) 45th Meeting, July 18, 1961"	"n/a"
"Trachtenberg_BR_19610719"	"Note by the Secretary, NATO Strategy - Brief for the Chairman, British Defence Staffs, July 19, 1961"	"Public Record Office, London"
"Trachtenberg_BR_19610725"	"Note by the Secretary, Military Aspects of the Control of Nuclear Weapons in NATO, Cole, July 25, 1961"	"Public Record Office, London"
"Trachtenberg_BR_19610726"	"Lord Home Notes re: \"Berlin\" (parts), not dated"	"n/a"
"Trachtenberg_BR_19610731"	"Report by the Joint Planning Staff, Berlin Contingency Planning Supplementary Brief, July 31, 1961"	"n/a"
"Trachtenberg_BR_19610801"	"Confidential Annex to C.O.S. (61) 49th Meeting, August 1, 1961"	"Public Record Office, London"
"Trachtenberg_BR_19610805"	"Record of Conversation between the Secretary of State and Mr. Rusk, August 5, 1961"	"n/a"
"Trachtenberg_BR_19610806"	"Telegram from Paris to Dixon, August 6, 1961"	"n/a"
"Trachtenberg_BR_19610814"	"Note by the Secretary, NATO Strategy - Supplementary Brief for Sir George Hills, August 14, 1961"	"Public Record Office, London"
"Trachtenberg_BR_19610815"	"Confidential Annex to C.O.S. (61) 53rd Meeting, August 15, 1961"	"Public Record Office, London"
"Trachtenberg_BR_19610817"	"Report by the Joint Planning Staff, Berlin Contingency Planning, August 17, 1961"	"n/a"
"Trachtenberg_BR_19610822"	"Confidential Annex to C.O.S. (61) 54th Meeting, August 22, 1961"	"n/a"
"Trachtenberg_BR_19610824"	"Note by the Secretary, General Norstad's Proposed Directive for Contingency Planning, Warne, August 24, 1961"	"n/a"
"Trachtenberg_BR_19610827"	"Note by the Directors of Plans, Berlin Contingency Planning, August 27, 1961"	"n/a"
"Trachtenberg_BR_19610828"	"Confidential Annex to C.O.S. (61) 56th Meeting, August 28, 1961"	"n/a"
"Trachtenberg_BR_19610831"	"Report by the Joint Planning Staff, Berlin Contingency Planning Supplementary Brief, July 31, 1961"	"Public Record Office, London"
"Trachtenberg_BR_19610901"	"Confidential Annex to C.O.S. (61) 57th Meeting, Berlin Contingency Planning (part)"	"n/a"
"Trachtenberg_BR_19610905"	"Telegram from Moscow to Roberts, September 5, 1961"	"n/a"
"Trachtenberg_BR_19610907"	"Memo, Shuckburgh, September 7, 1961"	"n/a"
"Trachtenberg_BR_19610910"	"Note by the Directors of Plans, Air Access to Berlin, September 10, 1961"	"n/a"
"Trachtenberg_BR_19610913"	"Telegram from Washington to Foreign Office, September 12, 1961"	"n/a"
"Trachtenberg_BR_19610914"	"From Confidential Annex to C.O.S. (61) 61st Meeting, Berlin Contingency Planning (part)"	"n/a"
"Trachtenberg_BR_19610915"	"Confidential Annex to C.O.S. (61) 62nd Meeting, September 19, 1961"	"n/a"
"Trachtenberg_BR_19610917"	"Shuckburgh Summary of Conversation with Kohler, September 17, 1961"	"n/a"
"Trachtenberg_BR_19610921"	"Confidential Annex to C.O.S. (61) 63rd Meeting, September 21, 1961"	"n/a"
